length_of_association,Income,total_amount_spend
90,40637.0,38.0
99,18985.5,35.0
86,29604.0,53.0
92,48721.0,293.0
79,44794.0,65.0
101,64497.0,1778.25
94,46097.0,241.0
82,77972.0,1101.0
100,44377.0,264.0
96,46014.0,541.0
93,70951.0,1198.0
82,41443.0,482.0
80,52195.0,22.0
86,83790.0,1615.0
89,44551.0,285.0
98,69508.0,1135.0
81,45204.0,114.0
86,72460.0,1047.0
81,77622.0,714.0
97,30732.0,185.0
101,63887.0,1245.0
94,42011.0,189.0
99,51369.0,576.0
98,51537.0,1103.0
102,79930.0,1753.0
83,34320.0,22.0
94,37070.0,433.0
97,81975.0,1588.0
92,38590.0,22.0
81,18985.5,22.0
94,62745.0,1117.0
85,22212.0,69.0
86,23661.0,23.0
88,79761.0,605.0
85,18985.5,57.0
80,60182.0,22.0
87,73455.0,1778.25
97,64961.0,1009.0
90,22804.0,26.0
86,73687.0,1627.0
101,61074.0,1102.0
80,31686.0,22.0
92,80134.0,1690.0
97,75027.0,1390.0
101,67546.0,1778.25
99,65176.0,1531.0
88,31160.0,64.0
87,29938.0,26.0
94,84130.0,1112.0
100,26490.0,210.0
101,75702.0,1148.0
100,30899.0,33.0
99,63342.0,1101.0
99,45989.0,322.0
92,18985.5,44.0
86,40737.0,22.0
100,18985.5,31.0
92,69674.0,845.0
79,44159.0,275.0
98,37717.0,25.0
96,43776.0,275.0
94,38179.0,90.0
79,80124.0,1495.0
99,38097.0,184.0
91,72940.0,981.0
88,22070.0,67.0
100,69267.0,1635.0
82,31788.0,60.0
84,61905.0,231.0
82,29315.0,48.0
96,33378.0,99.0
88,66313.0,770.0
96,60714.0,957.0
81,77882.0,818.0
94,69867.0,925.0
93,63841.0,908.0
96,24480.0,102.0
99,51369.0,576.0
101,37760.0,317.0
83,65640.0,461.0
81,44319.0,37.0
90,30631.0,70.0
96,75278.0,930.0
97,50898.0,859.0
80,79946.0,1478.0
91,35416.0,390.0
91,32414.0,52.0
85,38361.0,137.0
99,82497.0,1778.25
84,18985.5,68.0
95,29672.0,25.0
101,55951.0,1374.0
95,35388.0,32.0
96,42386.0,100.0
97,68627.0,825.0
82,57912.0,916.0
81,35246.0,62.0
87,58821.0,728.0
83,46377.0,90.0
81,39747.0,273.0
85,23976.0,66.0
94,80950.0,1213.0
100,27038.0,107.0
83,77457.0,1157.0
88,64100.0,546.0
93,42670.0,241.0
84,18985.5,53.0
87,22574.0,37.0
96,70893.0,1508.0
85,54198.0,235.0
82,28839.0,32.0
90,40321.0,102.0
102,66503.0,401.0
90,30833.0,28.0
96,64795.0,680.0
91,34421.0,30.0
83,47025.0,22.0
96,64325.0,1307.0
97,40464.0,630.0
91,62187.0,1283.0
91,18985.5,65.0
87,27255.0,37.0
93,54432.0,38.0
95,29999.0,160.0
93,24072.0,23.0
88,33996.0,71.0
94,66334.0,1161.0
97,35178.0,59.0
91,22010.0,33.0
101,62204.0,946.0
98,75693.0,1442.0
99,30675.0,62.0
95,83003.0,1674.0
88,83532.0,1778.25
102,68655.0,1538.0
86,41411.0,139.0
98,55212.0,1182.0
91,59292.0,507.0
89,27190.0,22.0
86,82623.0,940.0
91,44300.0,42.0
79,84130.0,1190.0
97,30372.0,44.0
85,33181.0,22.0
85,71113.0,835.0
97,71952.0,1443.0
87,69759.0,1029.0
99,72099.0,1188.0
97,60000.0,1277.0
86,38643.0,49.0
93,50737.0,99.0
98,68462.0,1670.0
89,65073.0,900.0
88,46681.0,425.0
100,78618.0,1778.25
82,62187.0,636.0
83,28442.0,57.0
98,37717.0,25.0
97,51479.0,494.0
101,54803.0,693.0
92,79530.0,1348.0
94,31615.0,51.0
98,72025.0,1778.25
98,52614.0,990.0
81,35684.0,30.0
99,48178.0,254.0
89,29548.0,29.0
99,63810.0,1371.0
91,38578.0,73.0
101,46098.0,120.0
94,22585.0,81.0
97,30279.0,37.0
88,66426.0,1377.0
91,30822.0,51.0
97,33581.0,22.0
86,19986.0,22.0
98,27421.0,324.0
101,35688.0,211.0
82,36143.0,22.0
92,18985.5,41.0
87,43795.0,492.0
100,63381.0,1005.0
101,38823.0,114.0
93,83664.0,1173.0
85,84130.0,1738.0
85,62499.0,222.0
81,74293.0,1127.0
93,51012.0,209.0
83,70777.0,787.0
88,68682.0,1598.0
100,43824.0,186.0
101,18985.5,47.0
97,23442.0,27.0
99,18985.5,96.0
94,31395.0,64.0
100,75276.0,1040.0
89,42373.0,163.0
95,30507.0,343.0
87,55521.0,446.0
79,48006.0,41.0
101,27213.0,70.0
80,65808.0,272.0
92,30351.0,46.0
99,50437.0,490.0
98,23616.0,79.0
99,53858.0,915.0
94,66465.0,1485.0
101,46923.0,369.0
96,75072.0,1073.0
82,75865.0,1242.0
86,19789.0,78.0
83,80134.0,1378.0
95,84130.0,1474.0
95,49505.0,751.0
81,37401.0,48.0
80,30096.0,45.0
80,18985.5,22.0
92,82584.0,1435.0
93,84130.0,1778.25
86,48686.0,22.0
81,84130.0,1778.25
82,75433.0,1188.0
81,18985.5,43.0
93,61314.0,1008.0
93,84130.0,1688.0
99,42387.0,684.0
96,67309.0,1082.0
86,75236.0,1068.0
84,30015.0,57.0
91,50943.0,46.0
85,67272.0,733.0
89,51529.0,467.0
89,32011.0,122.0
96,18985.5,36.0
91,28691.0,34.0
85,56223.0,156.0
90,18985.5,22.0
97,30279.0,37.0
82,20130.0,34.0
90,23295.0,22.0
88,42618.0,192.0
85,81246.0,1379.0
92,24027.0,48.0
85,55707.0,428.0
93,57959.0,868.0
95,56796.0,1001.0
87,36230.0,59.0
86,70829.0,431.0
101,65991.0,971.0
101,38988.0,348.0
100,84130.0,1778.25
94,42207.0,265.0
80,50300.0,270.0
100,66664.0,1289.0
85,60597.0,893.0
88,70165.0,926.0
84,50520.0,135.0
79,80124.0,1495.0
83,33183.0,120.0
83,66582.0,1288.0
93,75261.0,1743.0
99,31880.0,22.0
83,53790.0,542.0
102,49269.0,890.0
94,61456.0,1388.0
87,37406.0,22.0
102,56937.0,906.0
97,38415.0,44.0
80,20518.0,25.0
95,62503.0,973.0
80,41644.0,31.0
80,55842.0,518.0
99,62010.0,530.0
99,41124.0,506.0
85,38961.0,70.0
89,37760.0,54.0
101,32233.0,296.0
87,43057.0,266.0
100,83151.0,747.0
101,78825.0,895.0
86,65104.0,1053.0
91,60093.0,735.0
84,18985.5,22.0
99,28457.0,205.0
100,78952.0,1778.25
98,46310.0,309.0
95,76005.0,1722.0
97,58308.0,900.0
86,55614.0,682.0
93,59432.0,663.0
82,55563.0,43.0
93,78642.0,1778.25
80,67911.0,976.0
94,65275.0,746.0
102,27203.0,64.0
86,48330.0,32.0
97,24279.0,263.0
101,64355.0,1445.0
91,50943.0,46.0
99,53653.0,1210.0
86,65665.0,945.0
90,81217.0,1157.0
91,34935.0,137.0
97,61250.0,730.0
92,39665.0,216.0
94,60152.0,943.0
87,48920.0,347.0
82,84130.0,1778.25
93,44124.0,397.0
93,81169.0,1778.25
96,36443.0,138.0
91,26095.0,42.0
89,71367.0,777.0
83,80184.0,1778.25
84,30630.0,52.0
83,73454.0,1651.0
89,42691.0,358.0
100,70503.0,1727.0
101,25545.0,210.0
98,32880.0,42.0
86,77863.0,1291.0
79,50353.0,442.0
102,61839.0,1778.25
87,49154.0,411.0
95,47682.0,521.0
88,72679.0,1168.0
79,57954.0,493.0
93,65316.0,260.0
91,28567.0,46.0
94,47352.0,319.0
84,44931.0,96.0
83,76982.0,1062.0
90,57247.0,232.0
85,22944.0,76.0
87,25315.0,54.0
102,43638.0,201.0
98,42710.0,406.0
90,84130.0,1778.25
92,54058.0,662.0
83,24683.0,41.0
85,84130.0,1600.0
86,47850.0,134.0
84,19514.0,69.0
82,27159.0,22.0
82,39548.0,54.0
81,21474.0,91.0
83,60504.0,526.0
93,22419.0,162.0
87,81698.0,1008.0
101,43462.0,240.0
95,54880.0,795.0
94,79908.0,1772.0
90,18985.5,64.0
92,84130.0,1778.25
89,33039.0,78.0
91,81741.0,1572.0
91,71499.0,795.0
84,62466.0,889.0
87,48799.0,331.0
79,52157.0,265.0
98,66565.0,1065.0
89,29298.0,22.0
91,47691.0,22.0
98,38200.0,22.0
101,44989.0,369.0
84,38443.0,38.0
88,38593.0,177.0
90,64413.0,279.0
88,36959.0,62.0
96,61996.0,1230.0
82,51287.0,182.0
89,18985.5,49.0
88,47472.0,75.0
91,54603.0,227.0
99,45207.0,215.0
94,40689.0,444.0
87,47821.0,47.0
93,27450.0,143.0
82,39453.0,55.0
81,26850.0,63.0
100,79800.0,1778.25
88,61794.0,611.0
80,53863.0,473.0
89,24221.0,55.0
100,39684.0,81.0
98,84130.0,1778.25
86,69882.0,1478.0
84,33178.0,49.0
88,59973.0,382.0
88,18985.5,69.0
99,23910.0,67.0
87,42169.0,30.0
92,26224.0,63.0
101,31089.0,79.0
95,30081.0,42.0
101,62807.0,819.0
88,72906.0,1151.0
98,61467.0,594.0
96,49618.0,129.0
97,21888.0,213.0
83,42429.0,67.0
95,26150.0,28.0
99,30801.0,45.0
81,81168.0,1193.0
89,26877.0,268.0
90,45006.0,266.0
98,18985.5,37.0
87,22574.0,37.0
99,48240.0,882.0
90,45837.0,373.0
93,35791.0,35.0
92,84130.0,107.0
94,54162.0,42.0
101,30522.0,326.0
91,54456.0,404.0
90,31632.0,95.0
82,72298.0,939.0
85,36975.0,33.0
92,72635.0,981.0
96,18985.5,36.0
92,84130.0,1237.0
100,70971.0,1778.25
101,34487.0,103.0
97,28769.0,191.0
86,69084.0,1586.0
79,65488.0,963.0
84,62466.0,889.0
83,32218.0,93.0
93,83917.0,1587.0
82,46102.0,22.0
92,84130.0,1375.0
97,56181.0,393.0
100,63120.0,1477.0
87,73691.0,1179.0
100,63381.0,1005.0
80,76140.0,1348.0
97,62859.0,1307.0
93,45906.0,486.0
95,77632.0,1778.25
89,46463.0,235.0
96,84130.0,1724.0
85,55282.0,235.0
80,78710.0,1092.0
88,66886.0,599.0
83,84130.0,1778.25
101,29103.0,48.0
102,67445.0,1174.0
81,50616.0,67.0
102,49431.0,365.0
83,84130.0,22.0
85,61278.0,165.0
100,26490.0,210.0
89,73059.0,1095.0
87,46734.0,223.0
98,56253.0,597.0
86,19986.0,22.0
85,58330.0,1064.0
101,25965.0,74.0
97,18985.5,26.0
97,18985.5,60.0
92,45068.0,22.0
88,21063.0,59.0
93,29187.0,34.0
87,54690.0,198.0
90,59304.0,1048.0
87,59247.0,574.0
101,66731.0,1029.0
85,77353.0,670.0
98,52614.0,990.0
80,26751.0,22.0
99,81300.0,1241.0
85,70337.0,576.0
91,36145.0,172.0
85,65295.0,664.0
87,68118.0,928.0
101,68743.0,1778.25
90,41039.0,467.0
87,38946.0,257.0
85,65777.0,1146.0
95,66476.0,689.0
101,84130.0,1778.25
102,84130.0,1717.0
80,77845.0,1346.0
88,69476.0,1044.0
100,50611.0,493.0
89,61209.0,957.0
90,42315.0,270.0
87,18985.5,29.0
92,47570.0,121.0
90,61923.0,126.0
82,34824.0,23.0
94,26518.0,57.0
87,45938.0,636.0
81,78468.0,1004.0
88,78901.0,734.0
82,71427.0,614.0
83,71022.0,1453.0
81,84130.0,1621.0
85,41335.0,187.0
97,71952.0,1443.0
79,35682.0,57.0
94,43185.0,637.0
86,66375.0,948.0
97,35178.0,59.0
90,25252.0,22.0
99,55250.0,903.0
95,33249.0,112.0
92,58398.0,596.0
90,50272.0,233.0
98,76618.0,1511.0
100,84130.0,1152.0
96,25851.0,48.0
94,58710.0,1185.0
82,45160.0,22.0
97,74806.0,965.0
93,59111.0,869.0
80,18988.0,22.0
95,72190.0,1778.25
102,18985.5,71.0
79,44794.0,65.0
86,80395.0,1380.0
84,75012.0,1027.0
87,56962.0,411.0
93,84130.0,836.0
88,35946.0,22.0
102,53593.0,480.0
91,66373.0,606.0
87,45072.0,284.0
88,84130.0,1472.0
81,72025.0,1677.0
94,67432.0,1335.0
80,70545.0,334.0
94,18985.5,22.0
102,62882.0,1338.0
94,64108.0,1099.0
95,34941.0,97.0
85,48767.0,63.0
90,38702.0,109.0
84,82224.0,902.0
93,83844.0,1574.0
85,18985.5,38.0
82,71163.0,960.0
88,33697.0,28.0
84,63564.0,1215.0
85,83443.0,1497.0
88,51518.0,449.0
85,58330.0,1064.0
95,80952.0,1757.0
81,75507.0,1440.0
96,63855.0,1006.0
102,62220.0,1226.0
88,58512.0,1171.0
94,40662.0,92.0
82,38829.0,99.0
88,35523.0,66.0
81,79146.0,564.0
87,78285.0,1427.0
93,31626.0,86.0
80,75127.0,833.0
93,48726.0,242.0
101,74985.0,1778.25
101,67430.0,1364.0
89,46891.0,183.0
92,62058.0,450.0
91,72063.0,758.0
85,78939.0,1507.0
93,42720.0,654.0
93,33622.0,81.0
98,18985.5,137.0
95,41452.0,22.0
89,40760.0,93.0
84,74250.0,1158.0
85,51124.0,43.0
88,72258.0,1525.0
82,71466.0,1230.0
81,36283.0,29.0
80,20587.0,25.0
82,30467.0,24.0
91,31590.0,38.0
99,20425.0,57.0
83,18985.5,47.0
97,42564.0,813.0
80,43783.0,629.0
101,40780.0,377.0
96,62847.0,1612.0
99,82017.0,729.0
90,18985.5,50.0
87,51267.0,270.0
94,46524.0,177.0
96,45183.0,315.0
79,70421.0,767.0
99,60161.0,1071.0
95,73926.0,1580.0
85,19329.0,60.0
85,61872.0,573.0
94,46984.0,41.0
96,34838.0,170.0
87,82716.0,1167.0
94,48192.0,1526.0
87,49681.0,458.0
82,56850.0,63.0
87,55267.0,405.0
94,59666.0,1027.0
94,72504.0,1478.0
87,26872.0,72.0
93,21359.0,48.0
80,73170.0,726.0
96,52750.0,860.0
86,84130.0,1497.0
80,65968.0,495.0
82,30772.0,22.0
98,22507.0,570.0
82,65685.0,769.0
89,25804.0,55.0
93,76412.0,1778.25
90,22063.0,55.0
79,57091.0,577.0
93,22419.0,162.0
92,84130.0,1778.25
93,78353.0,1576.0
93,84130.0,1616.0
97,37859.0,36.0
93,80995.0,1482.0
83,18985.5,22.0
86,55412.0,63.0
101,48789.0,680.0
93,56575.0,542.0
88,25130.0,50.0
95,35441.0,39.0
94,71391.0,1043.0
93,49494.0,385.0
100,81702.0,1633.0
91,45889.0,46.0
82,56628.0,761.0
90,34026.0,76.0
98,40049.0,290.0
80,34176.0,89.0
99,19419.0,70.0
90,82504.0,1066.0
84,81205.0,1778.25
100,61618.0,1345.0
97,55284.0,764.0
87,49980.0,195.0
93,18985.5,53.0
91,49166.0,368.0
84,65324.0,544.0
99,82347.0,1778.25
80,30843.0,35.0
82,46374.0,446.0
94,60474.0,1180.0
83,38576.0,41.0
95,55357.0,727.0
100,37758.0,40.0
93,84130.0,1062.0
84,23228.0,40.0
83,44602.0,292.0
97,18985.5,22.0
100,38683.0,341.0
85,49514.0,369.0
92,57906.0,401.0
94,43456.0,393.0
88,19485.0,22.0
93,53172.0,486.0
99,30545.0,69.0
88,70123.0,1727.0
85,62450.0,995.0
79,21675.0,45.0
82,42395.0,182.0
88,61346.0,989.0
88,80812.0,1677.0
91,42835.0,595.0
95,39922.0,156.0
82,84130.0,1226.0
96,18985.5,128.0
83,24762.0,86.0
99,35797.0,68.0
90,36627.0,22.0
79,51111.0,55.0
101,84130.0,1778.25
91,82072.0,1778.25
98,46231.0,263.0
85,42243.0,55.0
94,51195.0,564.0
85,68092.0,1281.0
96,31814.0,83.0
101,51390.0,353.0
84,76630.0,1003.0
81,26868.0,22.0
96,48948.0,902.0
98,55260.0,1139.0
90,64090.0,797.0
84,78331.0,1638.0
89,37087.0,401.0
87,21846.0,84.0
96,81320.0,928.0
89,54137.0,203.0
90,66825.0,858.0
86,57100.0,409.0
94,58917.0,282.0
81,84130.0,1423.0
86,84130.0,1449.0
86,45684.0,28.0
85,47889.0,67.0
82,45921.0,199.0
91,78420.0,1453.0
87,75114.0,1253.0
96,52278.0,1198.0
90,35641.0,178.0
98,84130.0,1778.25
93,62820.0,976.0
85,73113.0,1001.0
90,84130.0,1778.25
86,42607.0,350.0
92,74637.0,1650.0
81,46015.0,46.0
93,72354.0,1228.0
96,39858.0,95.0
81,34469.0,62.0
80,83033.0,1761.0
101,24401.0,467.0
83,77583.0,1149.0
85,74116.0,1778.25
81,74293.0,1127.0
86,68397.0,1416.0
81,79632.0,1113.0
83,46107.0,125.0
102,64950.0,966.0
97,25443.0,32.0
80,75127.0,833.0
80,32892.0,46.0
87,71796.0,960.0
92,67536.0,1778.25
90,55239.0,779.0
90,60554.0,811.0
92,64831.0,1120.0
90,56067.0,725.0
92,82025.0,1187.0
95,84130.0,1778.25
97,18985.5,66.0
100,51563.0,1250.0
83,57937.0,683.0
88,68274.0,305.0
86,39771.0,50.0
100,67893.0,995.0
80,27922.0,41.0
80,52190.0,77.0
96,44051.0,171.0
93,42767.0,131.0
80,46106.0,54.0
96,18985.5,53.0
98,59754.0,475.0
101,53700.0,694.0
81,59041.0,96.0
93,54237.0,361.0
100,70647.0,1079.0
81,52597.0,578.0
97,41021.0,64.0
87,40233.0,149.0
79,50183.0,231.0
88,54753.0,728.0
89,84130.0,1778.0
100,33471.0,93.0
93,34596.0,23.0
100,44010.0,662.0
84,84130.0,1198.0
96,40706.0,81.0
99,18985.5,92.0
86,59052.0,491.0
100,80573.0,1564.0
84,83715.0,926.0
102,82576.0,1778.25
87,56962.0,411.0
85,35704.0,94.0
88,53103.0,1085.0
90,46779.0,23.0
79,18985.5,22.0
90,33462.0,54.0
87,63693.0,1150.0
89,80763.0,1415.0
89,65352.0,405.0
86,82170.0,1778.25
87,75759.0,1778.25
93,79689.0,1315.0
79,35340.0,45.0
82,84130.0,1778.25
98,24884.0,22.0
101,42021.0,573.0
83,64449.0,805.0
79,64587.0,108.0
82,34824.0,23.0
86,75437.0,1493.0
83,26091.0,89.0
89,52845.0,936.0
87,46086.0,343.0
101,78028.0,528.0
88,84130.0,1778.25
94,56337.0,724.0
95,22434.0,58.0
92,36930.0,297.0
96,36130.0,488.0
99,65569.0,859.0
93,83844.0,1574.0
84,19514.0,69.0
93,36736.0,22.0
101,77568.0,1778.25
84,49187.0,116.0
95,30168.0,279.0
101,34053.0,103.0
81,38196.0,44.0
81,59412.0,406.0
82,70924.0,1363.0
92,54165.0,236.0
97,32300.0,39.0
95,20180.0,137.0
79,34961.0,79.0
91,28440.0,63.0
95,64504.0,1314.0
79,33564.0,71.0
99,18985.5,58.0
94,56320.0,702.0
89,28647.0,94.0
96,18985.5,80.0
90,32173.0,22.0
99,68316.0,1211.0
91,74538.0,1461.0
96,84130.0,1778.25
79,68695.0,1091.0
96,31056.0,55.0
80,79593.0,1366.0
101,28071.0,313.0
83,37334.0,62.0
88,46423.0,92.0
82,37126.0,72.0
92,47703.0,655.0
81,61180.0,704.0
99,38998.0,54.0
100,18985.5,178.0
80,76081.0,1033.0
90,34728.0,36.0
100,33168.0,122.0
88,33585.0,122.0
87,77037.0,1123.0
99,35196.0,497.0
91,44529.0,691.0
82,70924.0,1363.0
80,28764.0,22.0
95,69098.0,1778.25
95,25959.0,56.0
94,27100.0,37.0
100,70596.0,968.0
101,42557.0,270.0
90,53312.0,278.0
98,72228.0,1250.0
94,67605.0,938.0
100,62845.0,1178.0
90,65196.0,1155.0
97,42000.0,653.0
80,35860.0,49.0
81,65526.0,506.0
101,18985.5,38.0
81,83528.0,1650.0
102,64176.0,1778.25
102,22304.0,22.0
83,67023.0,906.0
80,32892.0,46.0
98,70713.0,1477.0
98,59925.0,766.0
83,39722.0,47.0
90,46610.0,467.0
91,84130.0,1778.25
93,84130.0,1298.0
89,26907.0,22.0
84,50014.0,396.0
93,41014.0,22.0
82,66294.0,967.0
98,36715.0,357.0
101,79456.0,1401.0
89,40479.0,22.0
96,75345.0,1778.25
96,54233.0,981.0
87,24163.0,22.0
97,84130.0,523.0
81,43776.0,23.0
82,71691.0,1192.0
80,84130.0,1778.25
81,39190.0,133.0
89,71367.0,777.0
91,38578.0,73.0
82,57236.0,121.0
90,61825.0,424.0
80,79803.0,868.0
99,80910.0,756.0
93,27590.0,22.0
97,56775.0,937.0
88,83829.0,1778.25
92,54210.0,367.0
90,38508.0,443.0
87,53187.0,267.0
82,30023.0,61.0
86,76045.0,1323.0
79,50870.0,63.0
90,18985.5,64.0
84,65463.0,562.0
80,66480.0,312.0
95,76773.0,1156.0
95,81698.0,1104.0
83,54466.0,22.0
83,84130.0,1778.25
89,18985.5,44.0
89,71819.0,1574.0
87,33569.0,63.0
88,36262.0,426.0
96,22634.0,96.0
88,47025.0,635.0
88,70566.0,757.0
98,31605.0,125.0
92,52034.0,332.0
85,48526.0,135.0
98,46734.0,330.0
97,39552.0,384.0
102,84130.0,1722.0
81,46931.0,78.0
97,18985.5,24.0
85,63998.0,1168.0
96,67381.0,957.0
87,25930.0,22.0
79,42693.0,57.0
99,84130.0,1778.25
87,72903.0,1778.25
80,49669.0,326.0
102,36778.0,77.0
93,84130.0,1313.0
80,18985.5,30.0
96,49678.0,315.0
91,56129.0,660.0
96,37155.0,74.0
80,21282.0,46.0
89,33419.0,86.0
87,63285.0,1103.0
84,21255.0,61.0
86,42162.0,145.0
101,54450.0,684.0
86,57744.0,411.0
100,26576.0,27.0
91,57513.0,1060.0
101,68142.0,1459.0
101,18985.5,22.0
100,83145.0,1778.25
82,54197.0,237.0
80,23091.0,48.0
90,46049.0,515.0
98,56715.0,1020.0
80,79410.0,1370.0
95,57304.0,1026.0
82,44375.0,301.0
101,54450.0,684.0
99,59594.0,499.0
101,80685.0,1004.0
87,40344.0,218.0
92,62710.0,606.0
91,48985.0,75.0
101,35322.0,106.0
92,77142.0,990.0
84,81657.0,1097.0
83,18985.5,22.0
82,20130.0,34.0
101,74214.0,1711.0
84,66726.0,438.0
97,23724.0,75.0
86,47353.0,225.0
99,33444.0,22.0
92,54386.0,470.0
93,28510.0,91.0
83,84130.0,1778.25
96,48070.0,504.0
97,43140.0,235.0
96,54959.0,1232.0
93,18985.5,88.0
80,26954.0,22.0
90,22327.0,24.0
89,44393.0,60.0
89,62000.0,1020.0
98,31497.0,155.0
83,45894.0,51.0
97,78579.0,1778.25
98,67369.0,1461.0
81,58401.0,96.0
83,62307.0,160.0
93,43641.0,139.0
93,63841.0,908.0
89,46891.0,183.0
94,70091.0,1161.0
82,78075.0,988.0
101,59184.0,1072.0
88,54809.0,174.0
96,58113.0,758.0
85,51412.0,195.0
100,18985.5,31.0
89,66636.0,1084.0
95,50965.0,685.0
86,84130.0,1672.0
87,18985.5,43.0
83,40451.0,49.0
92,36317.0,133.0
87,42213.0,363.0
93,65748.0,545.0
87,77044.0,1065.0
95,74918.0,1778.25
99,56721.0,296.0
91,42160.0,140.0
90,61559.0,530.0
102,33629.0,152.0
88,68682.0,1598.0
96,34377.0,114.0
101,18985.5,101.0
88,26228.0,25.0
96,77297.0,789.0
90,40211.0,87.0
88,33438.0,90.0
93,75032.0,1215.0
87,61284.0,811.0
99,22518.0,61.0
89,54730.0,405.0
82,38452.0,72.0
95,44421.0,189.0
91,38197.0,40.0
83,41986.0,63.0
94,28427.0,52.0
81,37395.0,39.0
80,64722.0,805.0
81,55249.0,130.0
88,84130.0,1631.0
91,28691.0,34.0
86,44213.0,152.0
84,25707.0,22.0
88,59062.0,71.0
80,76624.0,899.0
81,66000.0,711.0
102,27683.0,351.0
80,18985.5,22.0
98,18985.5,119.0
94,40521.0,22.0
82,20427.0,22.0
80,65106.0,973.0
89,69969.0,1536.0
90,67433.0,992.0
